Array Size,Average Time
1,0.000085169076920
2,0.000073622465134
3,0.000101443529129
4,0.000071599483490
5,0.000077888965607
6,0.000077596902847
7,0.000067508220673
8,0.000080548524857
9,0.000067342519760
10,0.000262800455093
11,0.000137883424759
12,0.000108441114426
13,0.000273984670639
14,0.000280650854111
15,0.000083105564117
16,0.000081518888474
17,0.000086759328842
18,0.000083843469620
19,0.000082503557205
20,0.000084322690964
21,0.000081497430801
22,0.005057568550110
23,0.000831668376923
24,0.000082234144211
25,0.000124446153641
26,0.000082226991653
27,0.000081125497818
28,0.000083200931549
29,0.000080821514130
30,0.000089673995972
31,0.000083951950073
32,0.000093990564346
33,0.000081373453140
34,0.000081521272659
35,0.000081838369370
36,0.000094211101532
37,0.000081369876862
38,0.000081326961517
39,0.000081126689911
40,0.000080763101578
41,0.000081111192703
42,0.000081174373627
43,0.000081111192703
44,0.000080716609955
45,0.000071978569031
46,0.000080218315125
47,0.000072244405746
48,0.000072182416916
49,0.000071665048599
50,0.000071465969086
51,0.000071028470993
52,0.000070778131485
53,0.000070558786392
54,0.000070699453354
55,0.000070908069611
56,0.000070698261261
57,0.000070730447769
58,0.000071001052856
59,0.000085028409958
60,0.000070512294769
61,0.000070625543594
62,0.000070700645447
63,0.000070481300354
64,0.000070714950562
65,0.000071042776108
66,0.000071295499802
67,0.000070365667343
68,0.000071085691452
69,0.000070453882217
70,0.000070937871933
71,0.000071477890015
72,0.000071200132370
73,0.000071555376053
74,0.000071035623550
75,0.000071293115616
76,0.000071328878403
77,0.000940805673599
78,0.004970853328705
79,0.000064822435379
80,0.000299086570740
81,0.000064586400986
82,0.000064351558685
83,0.000064737796783
84,0.000076398849487
85,0.000091075897217
86,0.000124751329422
87,0.000271556377411
88,0.000083669424057
89,0.000084600448608
90,0.000072590112686
91,0.000093011856079
92,0.000081546306610
93,0.000259610414505
94,0.000099422931671
95,0.000097398757935
96,0.000109860897064
97,0.000182945728302
98,0.000111706256866
99,0.000059900283813
100,0.000060018301010
101,0.000160011053085
102,0.000060523748398
103,0.000060728788376
104,0.000060883760452
105,0.000061250925064
106,0.000080853700638
107,0.000294748544693
108,0.000061793327332
109,0.000121141672134
110,0.000094518661499
111,0.000058454275131
112,0.000060226917267
113,0.000061087608337
114,0.000059081315994
115,0.000060092210770
116,0.000255838632584
117,0.005814297199249
118,0.000105494260788
119,0.000078775882721
120,0.000065792798996
121,0.000065083503723
122,0.000064692497253
123,0.000065149068832
124,0.000065394639969
125,0.000267883539200
126,0.000064474344254
127,0.000064786672592
128,0.000064774751663
129,0.000064657926559
130,0.000064461231232
131,0.000064717531204
132,0.000065101385117
133,0.000065009593964
134,0.000064971446991
135,0.000065323114395
136,0.000068314075470
137,0.000065531730652
138,0.000065157413483
139,0.000065779685974
140,0.000266845226288
141,0.000067323446274
142,0.000067015886307
143,0.000067117214203
144,0.000065478086472
145,0.000065591335297
146,0.000067222118378
147,0.000065242052078
148,0.000087903738022
149,0.000087623596191
150,0.000064135789871
151,0.000068801641464
152,0.000063382387161
153,0.000265614986420
154,0.000063165426254
155,0.000063757896423
156,0.000084111690521
157,0.000279242992401
158,0.000117990970612
